probe,fc_CD_ileum,fc_UC_colon,fc_CD_colon
7893002,0.3433,-0.0624,-0.1299
7893003,-0.2161,0.1526,0.0627
7893004,0.22,-0.1247,-0.4899
7893005,0.15,-0.3624,-0.0117
7893006,0.1924,-0.3017,-0.2867
7893007,0.6886,0.5955,0.6057
7893008,-0.0527,0.2695,0.3817
7893009,-0.0251,0.2278,0.1633
7893010,-0.1409,-0.1229,-0.1329
7893011,-0.0657,0.0936,-0.0983
7893012,0.1998,-0.1062,-0.1083
7893013,0.195,-0.093,-0.2803
7893014,0.1671,-0.3545,-0.3831
7893015,-0.0716,0.0563,0.0593
7893016,-0.0713,0.1105,0.1756
7893017,-0.0142,-0.0609,0.0202
7893018,-0.0196,0.0049,0.1703
7893019,0.2897,0.1639,0.1686
7893021,-0.1591,-0.0155,0.0186
7893022,0.0514,-0.031,-0.2234
7893023,-0.0722,-0.2619,-0.5162
7893024,0.1986,-0.1164,-0.0903
7893025,0.0451,0.0578,0.1178
7893027,0.1681,-0.139,0.1164
7893028,0.168,-0.0797,0.4091
7893029,-0.0113,-0.0275,-0.0044
7893030,-0.1554,-0.4751,-0.7353
7893031,-0.158,-0.05,-0.2706
7893032,0.004,0.3288,0.363
7893033,0.7596,0.5717,0.6038
7893034,-0.1793,0.2031,0.1391
7893035,-0.0796,-0.1688,-0.2616
7893036,-0.175,0.1575,0.2227
7893037,-0.2201,0.0708,0.2442
7893038,0.1583,0.2045,0.175
7893039,-0.0941,0.0002,-0.027
7893040,0.1371,0.0111,0.2209
7893041,-0.0187,-0.1407,-0.1932
7893042,0.051,-0.0337,0.0546
7893043,-0.2115,0.0546,0.0096
7893044,-0.0329,-0.0504,-0.1319
7893045,-0.0219,-0.0918,-0.1154
7893046,0.0768,0.1061,-0.0357
7893047,0.3123,0.2727,0.1953
7893048,-0.0796,0.1462,0.1646
7893049,-0.012,0.4022,0.5905
7893050,0.0536,0.1131,-0.0141
7893051,-0.1281,0.1373,-0.1401
7893052,-0.2406,-0.3102,-0.3346
7893053,0.1196,-0.0633,-0.1381
7893055,-0.0386,0.0382,0.2691
7893056,-0.0654,-0.027,-0.0777
7893057,0.0863,-0.0241,-0.0555
7893058,0.0856,-0.1631,-0.1147
7893059,0.4302,-0.2298,-0.3358
7893060,0.0549,-0.2364,-0.3919
7893061,0.2973,0.3894,0.2746
7893062,-0.1199,0.134,0.0818
7893063,0.397,0.387,0.3058
7893064,-0.0577,0.2557,0.3336
7893065,-0.0988,0.0005,0.1524
7893066,-0.0605,0.1016,0.1084
7893067,-0.1216,0.1214,0.545
7893068,0.1686,0.0031,0.0698
7893069,0.042,-0.1144,0.0698
7893070,0.0544,0.1827,0.1512
7893071,-0.2547,-0.0374,-0.0168
7893072,0.0308,0.0586,0.0942
7893073,-0.0171,-0.0844,-0.2053
7893074,0.5133,0.0789,-0.1261
7893075,0.3814,0.9972,1.0208
7893076,-0.015,0.0313,0.0126
7893077,0.0315,0.0391,0.0939
7893078,0.0306,-0.0603,-0.1746
7893079,0.133,-0.4995,-0.2304
7893080,0.0965,0.0138,-0.2148
7893081,0.209,0.3071,0.213
7893082,-0.1258,-0.1263,0.075
7893083,0.2238,0.1669,0.3989
7893084,0.0122,0.3549,0.2146
7893085,0.0678,0.0719,0.1782
7893086,-0.1812,-0.6754,-0.7393
7893087,0.1536,-0.0465,0.082
7893088,-0.0819,0.0512,0.1199
7893089,-0.0724,-0.4261,-0.4006
7893090,-0.2226,-0.0225,-0.1734
7893091,0.1,0.1145,0.1136
7893092,-0.1653,0.0227,-0.0028
7893093,0.3008,-0.1223,-0.1066
7893094,-0.0939,0.1768,0.163
7893095,-0.1252,-0.0152,0.0891
