draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
226,72.45576492738701,47.21516366753471,100.0,100.0,31.326299729940356,13.428389961664234,9.548876279135744,3.465384765130819,6.849112640772259,2.4392310556626606
227,80.80227163062195,53.591605586050925,100.0,100.0,22.574094863160166,7.406780016367409,7.699674278759039,2.237523568258959,5.840237311748398,1.6732555424673001
228,77.1524422634269,42.39616283234648,100.0,100.0,25.736209856671522,7.022764998092246,5.874502707411622,1.342025063972041,4.439628610000856,1.002438267363448
229,75.40780666955415,50.869948563451864,100.0,100.0,28.19641630081644,11.707554741762461,8.122842809432084,2.8988112688321466,6.052199355979903,2.128999307961077
230,75.21647856532971,43.88640605583246,100.0,100.0,27.484792556088923,8.898196044803353,8.616958829433097,2.372319605640283,6.366167787623034,1.7219233072028994
231,74.3962770832194,45.75785172401206,100.0,100.0,29.861081287396374,11.000511788975508,5.491810119226381,1.6590543666722968,4.0711910338358415,1.2171229953726659
232,73.82415886008864,39.391990215582574,100.0,100.0,29.58104168243065,8.826178289654486,7.298879884363318,1.7821379901360568,5.514138642899069,1.3270516274973332
233,68.84784778341533,42.05654230132107,100.0,100.0,34.75876092449718,14.891580239388425,5.893332899855086,2.015237214994725,4.437178683426524,1.5020095230508068
234,80.70465009889632,55.64892465233386,100.0,100.0,22.83027347431267,8.151579423322497,6.412910111360503,2.014228251863337,4.674075645510289,1.4496032379190948
235,70.4257146287367,39.12152771518971,100.0,100.0,32.597505534177316,11.544304024285845,7.293309623559541,2.078855994712192,5.180222327844919,1.4528725024945621
236,75.31895717057824,46.552378634387104,100.0,100.0,26.98186534977426,9.540438004374419,7.522572388134829,2.269005845331351,5.519680559320184,1.640073888280369
237,79.51739138412796,55.71001040686454,100.0,100.0,24.070073956539716,9.314363833029315,8.859255221870221,3.0532930991055363,6.50106723825612,2.2031963345998107
238,70.93894935880598,46.126197042728975,100.0,100.0,33.464856739290816,14.995931021842212,6.8493035804840225,2.514189704749037,5.024475886583691,1.8217590655550397
239,76.54535558356824,46.606894076908034,100.0,100.0,27.802317331017324,9.338036329840026,10.86133373560909,3.1561852358498177,8.299314077713504,2.3635021068452944
240,78.52466020458291,54.09191686577489,100.0,100.0,26.14745775872048,10.24050921231725,7.5697089548456775,2.571162844671715,5.784450667126917,1.9400303333794833
241,81.34010729231935,56.462850126911455,100.0,100.0,22.2707949139919,7.8547232607322215,7.072505788777061,2.214178864349148,5.523962847181463,1.7098069935348348
242,66.74945812122577,45.04726859215283,100.0,100.0,36.69085374612761,19.136910024836617,7.765740841291258,3.3238381635819714,5.98549984907355,2.5338987858560036
243,77.62381206391605,51.024542071619884,100.0,100.0,27.49981888385268,10.226562242474957,6.953288728044782,2.195034406942664,5.335060890580612,1.6643796477316175
244,82.00268857577811,57.47490163807964,100.0,100.0,21.912144417667268,7.684054247150285,6.876340917617618,2.143383697216572,4.864168719580764,1.4939627786986986
245,74.06964987308238,45.17445006090639,100.0,100.0,29.573075118312474,10.80391658984019,9.062456746392645,2.7942958876793766,6.397321580386251,1.933341687561907
246,70.61277900741689,42.62071558458782,100.0,100.0,32.700566501547875,13.05898318395019,8.683666667442115,2.855701415508649,6.651668929920341,2.155273205348618
247,70.952623539992,44.88292471103566,100.0,100.0,33.79621214807258,14.543331303570106,7.711090779992336,2.7099928974994802,5.794295050100063,2.009287567894724
248,79.90660128562183,54.813242270403826,100.0,100.0,25.316755497456434,9.371194021802387,6.55961295957953,2.096459883086055,5.184639245308209,1.6405929530031726
249,74.43996984427379,46.80201012581849,100.0,100.0,28.388989119096898,10.694726028782863,7.006470750713401,2.225347013137302,5.388304871107518,1.6913159112773135
250,79.43349605081367,52.746842345105534,100.0,100.0,24.51114322997271,8.579218375054488,5.685172888442502,1.712320448467508,4.358656687875751,1.3000085284464502
