gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
MIR4799,0.0,nan,0.0,nan
MIR3688-2,0.0,nan,0.0,nan
MIR4800,0.0,nan,0.0,nan
MIR4801,0.0,nan,0.0,nan
MIR4802,0.0,nan,0.0,nan
LINC01093,1.587,0.0,1.0546,4.8e-05
SEC24B-AS1,-0.2515,0.672765,-0.0917,0.876765
LINC00955,0.0052,0.321537,0.0,nan
LINC01618,0.0,nan,0.0187,0.322778
LINC02363,0.0433,0.038383,0.0593,0.0449
HTT-AS,0.0,nan,0.0108,0.322778
SNCA-AS1,0.0,nan,0.0258,0.322778
LOC550113,0.3238,0.0,0.1728,0.00733
FLJ38576,-0.431,0.10822,-0.4194,0.116133
LINC02499,0.0,nan,0.0,nan
USP17L9P,0.0,nan,0.0,nan
LNX1-AS1,0.05,0.037008,0.0148,0.322778
LINC01216,0.0,nan,0.0503,0.322778
LNX1-AS2,0.001,0.989596,-0.0385,0.621473
ARHGEF38-IT1,0.0,nan,0.0199,0.322778
UGDH-AS1,0.0762,0.022042,0.065,0.028844
MIR5091,0.0,nan,0.0,nan
MIR5591,0.0,nan,0.0,nan
MIR5705,0.0,nan,0.0,nan
LINC00499,0.0,nan,0.0,nan
TNRC18P1,0.3303,0.054174,0.2405,0.135206
UCHL1-AS1,0.0,nan,0.0,nan
STPG2-AS1,0.0,nan,0.0,nan
LINC00613,0.0,nan,0.0,nan
LOC729218,0.0637,0.696776,0.0724,0.669016
SMARCA5-AS1,0.0442,0.025578,0.0886,0.009273
TMPRSS11BNL,0.0175,0.196017,0.0199,0.322778
IL21-AS1,-0.1899,0.394859,-0.2343,0.296902
LINC00682,0.0,nan,0.0199,0.322778
FBXW7-AS1,0.047,0.085731,0.0146,0.322778
CTBP1-AS,0.0767,0.010248,0.1446,0.021671
MIR6082,0.0,nan,0.0,nan
MIR7849,0.0,nan,0.0,nan
MIR7978,0.0,nan,0.0,nan
MIR8053,0.0,nan,0.0,nan
MIR8066,0.0,nan,0.0,nan
MIR8082,0.0,nan,0.0,nan
SMAD1-AS2,0.0,nan,0.0,nan
LINC01099,0.0085,0.321537,0.0,nan
LINC02492,0.0132,0.321537,0.0111,0.322778
ADGRL3-AS1,0.0,nan,0.0,nan
LINC01365,0.0,nan,0.0,nan
LOC101927237,-0.3667,0.157667,-0.3138,0.230158
LINC02466,0.1222,0.063102,0.058,0.209732
LINC02516,0.0907,0.236117,0.0697,0.268666
MAPK10-AS1,0.0339,0.092206,0.015,0.322778
LINC01258,0.0511,0.015022,0.0167,0.322778
BMPR1B-DT,0.0451,0.112236,0.0085,0.322778
PARM1-AS1,0.0939,0.672641,-0.0634,0.772357
LINC02432,0.1084,0.237057,0.2707,0.015553
LINC02273,0.8347,0.000294,0.5007,0.020006
LINC02502,0.0,nan,0.0,nan
LINC02265,0.2968,0.022843,0.1432,0.219246
DBET,0.0173,0.160671,0.0129,0.322778
LINC01179,0.0259,0.321537,0.0,nan
LOC101928131,0.0311,0.096875,0.0703,0.026307
LINC01262,0.0411,0.030615,0.0794,0.032088
LINC01182,-0.2339,0.629902,-0.2433,0.616755
LOC439933,0.0916,0.018299,0.1379,0.092117
USP46-AS1,0.2385,0.472936,0.1874,0.576982
LINC01378,0.0,nan,0.0,nan
LINC01396,-0.0569,0.453717,-0.0276,0.725288
LOC101927157,-0.2701,0.303341,-0.2627,0.322066
LOC101927179,0.0,nan,0.0,nan
LINC02615,-0.9472,0.064201,-1.0245,0.049904
SNHG27,-0.0103,0.856123,0.0346,0.658486
LOC101927359,-0.3516,0.444589,-0.1908,0.680487
LOC101927636,-0.2333,0.335416,-0.2523,0.305509
LINC02355,0.0238,0.161617,0.0525,0.053584
LOC101928052,0.0,nan,0.0199,0.322778
LINC01612,-0.5764,0.089717,-0.4582,0.169267
LOC101928279,0.1042,0.39064,-0.0454,0.69151
LOC101928306,0.0,nan,0.0,nan
GALNTL6-AS1,0.0,nan,0.0,nan
LINC02268,0.0334,0.050897,0.0614,0.195395
LOC101928551,-0.226,0.463963,-0.2286,0.462188
LOC101928590,-0.1959,0.377312,-0.2105,0.343436
LOC101928622,-0.1563,0.668082,-0.207,0.570341
LOC101928809,0.3052,0.002624,0.3836,0.007538
LINC02380,0.0085,0.321537,0.0,nan
LOC101928942,-0.1593,0.323186,-0.0782,0.631346
LOC101928978,0.074,0.145511,0.0337,0.200031
LINC02270,0.0143,0.160372,0.0193,0.322778
C1QTNF7-AS1,0.1609,0.147188,0.1968,0.094243
LOC100506444,-0.1105,0.67519,0.0707,0.796586
LINC02493,0.1136,0.111297,0.0577,0.185037
LNCPRESS2,0.0,nan,0.0,nan
LINC02261,0.0242,0.159458,0.0173,0.322778
LOC101929210,-0.1166,0.850615,-0.1564,0.801781
H2AZ1-DT,0.0,nan,0.0,nan
