gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
XPR1,0.8565,0.000282,0.7692,0.000866
PPIAL4C,0.0,nan,0.0,nan
FDPS,-0.7665,0.009095,-0.5434,0.047802
ABL2,1.3027,4e-06,1.4249,1e-06
C2CD4D,0.0035,0.965118,0.0355,0.661317
ZNF692,-0.2528,0.452344,-0.6514,0.115559
METTL11B,0.0,nan,0.0,nan
FBXO28,-0.935,0.0,-0.7289,4e-06
DNM3,-0.0155,0.974694,0.161,0.743357
RPS6KC1,0.86,0.224151,1.2397,0.09791
CMPK1,-0.4652,0.000558,-0.5383,0.00017
LAX1,0.637,0.171512,-0.1454,0.740328
RCC2,0.3504,0.388248,0.4436,0.275767
ARTN,1.331,0.0,0.9549,1e-06
TMEM51,1.5015,3e-05,1.2207,0.000148
FCGR2A,2.8374,6.8e-05,2.6642,0.00011
RCOR3,-0.4669,0.000206,-0.4598,0.000303
IFFO2,-0.8837,0.0,-0.4722,0.000158
AKIRIN1,0.4607,0.006626,0.498,0.003938
VASH2,-0.1691,0.703203,-0.0895,0.842274
ANP32E,-0.1253,0.357927,-0.0891,0.518822
MFSD2A,-1.7761,0.0,-1.5249,0.0
C1orf198,-1.1417,3.7e-05,-1.3603,8e-06
BTF3L4,-0.3417,0.028776,-0.3567,0.054908
SYT2,0.8526,0.000112,0.6153,0.002534
C1orf185,0.0,nan,0.0085,0.322778
BTBD19,0.0505,0.032107,0.0081,0.322778
LYSMD1,-0.1533,0.558407,-0.0986,0.701559
HNRNPCL2,0.0,nan,0.0,nan
RGSL1,0.0132,0.321537,0.0,nan
CNST,-0.0832,0.511398,-0.3979,0.00445
ATP13A2,0.765,0.104769,0.8058,0.088568
HES4,0.1574,0.466975,-0.1713,0.447494
FCMR,2.7989,0.000609,2.353,0.001958
LUZP1,0.7225,0.001389,0.5137,0.011717
RAD54L,0.5189,0.361054,0.3048,0.587791
WDR47,-0.9988,0.0,-0.7993,2e-06
RRNAD1,-0.622,0.00415,-0.4586,0.03213
INAVA,-0.4002,0.334035,-0.3173,0.44511
ZNF669,0.0454,0.883727,-0.0988,0.750224
NFYC,0.3084,0.669647,0.499,0.494685
C1orf122,0.549,0.006297,0.4883,0.013391
MAGI3,0.2173,0.508267,0.1592,0.621189
MPC2,-0.6511,0.002431,-0.4997,0.012143
DCST1,0.0,nan,0.0,nan
ASAP3,-1.1046,4.9e-05,-0.8176,0.000807
PPIAL4A,0.0,nan,0.0,nan
BSDC1,-0.0973,0.588279,-0.1545,0.408457
FAM76A,-1.0373,0.000717,-1.0336,0.000761
EFCAB2,0.0089,0.979211,-0.0689,0.844956
CAPN8,-0.8935,0.101488,-0.7451,0.164998
NBPF6,0.0,nan,0.0,nan
NBPF4,0.0,nan,0.0,nan
PPIAL4E,0.0,nan,0.0,nan
ELAVL4,-0.9666,0.149086,-0.9408,0.161185
CD58,1.0685,0.000888,0.9716,0.00232
FMO5,-1.4633,0.000131,-0.9963,0.003867
SLC30A7,0.5773,0.00166,0.5227,0.003317
FNDC7,0.1645,0.008342,0.0197,0.163691
RIIAD1,-0.0273,0.724375,-0.0333,0.648026
COG2,-0.2579,0.212864,-0.2489,0.230239
DNAH14,1.2343,0.001008,1.1985,0.001268
ANKRD65,-0.2618,0.556782,0.0612,0.892258
LAMTOR2,0.0898,0.66083,0.2136,0.328837
NECAP2,0.3447,0.280585,0.4266,0.178222
ETV3,0.2516,0.57163,0.1109,0.803739
IPP,-0.2899,0.186842,-0.2521,0.242941
SETDB1,0.0459,0.934353,0.1702,0.763837
STMN1,-0.2574,0.22006,-0.1968,0.375908
TEX38,0.0073,0.321537,0.0231,0.16254
TRIM45,-1.4598,0.000131,-1.2523,0.000547
ARMH1,1.3638,0.001034,1.6652,0.000172
RAP1GAP,-1.3971,0.025527,-1.0235,0.091244
ZBTB8B,0.201,0.623296,-0.091,0.82269
MTMR11,-1.3986,0.0,-0.7721,3e-06
GORAB,0.1547,0.260085,0.0662,0.619789
CAPN2,-0.5732,0.000114,-0.3731,0.004548
SLAMF9,1.246,0.0,0.6785,0.000414
HNRNPCL3,0.0,nan,0.0,nan
MPZL1,0.1204,0.653101,0.1515,0.542749
ZMYND12,0.13,0.685512,0.1506,0.643954
SYT14,-0.2236,0.745972,-0.2329,0.737259
P3H1,1.1522,0.01724,0.533,0.24413
FAAP20,-0.183,0.494224,-0.2728,0.31081
PRAMEF11,0.0,nan,0.0,nan
TMEM88B,0.0,nan,0.0,nan
REG4,-1.1872,0.100267,-1.0552,0.143167
FCRL1,0.5892,8.6e-05,0.2839,0.022207
NUP210L,0.3089,0.007484,0.121,0.222315
FCRL2,0.4266,0.000709,0.0362,0.322778
BNIPL,-1.4519,0.0,-0.9686,2e-06
EBNA1BP2,0.3139,0.169321,0.5122,0.034349
EPS15,-0.446,0.000793,-0.4259,0.00141
ST6GALNAC3,0.5053,0.165741,0.3883,0.288659
IQCC,-0.4929,0.212859,-0.4126,0.295534
PLEKHN1,-0.6073,0.00057,-0.2471,0.112665
OR6P1,0.0,nan,0.0078,0.322778
SH2D2A,3.6363,0.0,3.7214,0.0
JMJD4,-0.2404,0.321312,0.0142,0.954205
ALDH4A1,-0.6672,0.002169,-0.5503,0.039006
SYNC,-0.6035,8e-06,-0.4277,0.004246
ARHGEF2,1.8898,0.027065,1.5288,0.064681
SH3D21,1.5053,0.000759,0.9802,0.01543
RBMXL1,0.0591,0.671734,0.1479,0.303528
KIAA0040,1.3934,0.017202,1.1844,0.036712
TYW3,0.0388,0.803697,0.0593,0.755681
MROH9,0.2368,0.015999,0.1183,0.202333
SMIM1,-0.6368,0.037371,-0.5079,0.088181
ODR4,0.7163,0.001109,0.7992,0.00045
PPIAL4D,0.0,nan,0.0,nan
PPIAL4F,0.0,nan,0.0,nan
MTF2,0.2994,0.127591,0.1764,0.353208
RAB7B,-0.5635,0.000673,-0.3751,0.115764
IGFN1,-0.3396,0.466645,-0.7205,0.140403
RD3,0.0306,0.761001,-0.0217,0.791037
SMIM12,0.306,0.105885,0.3835,0.051957
C1orf210,-1.5301,0.0,-1.2597,7e-06
L1TD1,0.5616,0.006219,0.3663,0.072073
EPB41,-0.1725,0.042978,-0.2102,0.022781
HMGCS2,-2.1468,0.000523,-1.6465,0.00284
NDUFS2,-0.3254,0.005246,-0.1388,0.194459
PLPPR4,-0.1738,0.393166,-0.4244,0.026041
PTCH2,-0.8566,0.099161,-0.9043,0.082039
SSX2IP,-0.638,0.005331,-0.5129,0.041128
SLC16A1,1.4746,0.0,1.4145,0.0
EIF2B3,-0.1108,0.518522,-0.1895,0.375829
CFHR3,0.0476,0.159866,0.1373,0.094709
CD244,0.8083,0.019778,0.9866,0.007953
FAM229A,-1.1885,3e-06,-0.967,4.4e-05
NAV1,0.6206,0.000738,0.5923,0.001072
SMYD3,-0.0026,0.992206,-0.4593,0.096037
ADCY10,0.0315,0.164817,0.0605,0.196662
TMED5,1.1728,3e-06,1.2921,1e-06
PPP1R12B,-1.4851,0.0,-1.1998,4e-06
CFAP57,-0.4673,0.128873,-0.4158,0.173534
SLFNL1,0.0509,0.321537,0.0289,0.322778
NDC1,-0.169,0.256703,-0.0223,0.863355
ATAD3A,-0.2724,0.437884,0.0811,0.814814
SRGAP2,-0.8034,0.0,-0.6133,1e-06
ZNHIT6,0.1586,0.366367,0.1988,0.252767
MIB2,-0.7485,0.010253,-0.5248,0.051609
TEX35,0.0451,0.723984,0.0541,0.659792
C1orf127,0.1432,0.01077,0.3059,0.016041
NBPF15,0.7381,0.032744,0.6704,0.053437
FNDC5,-1.5771,0.002833,-1.7681,0.001344
NEXN,-0.0835,0.743813,-0.03,0.911425
VANGL1,-0.5618,0.005403,-0.3489,0.046755
LEFTY2,-0.6726,0.012862,-0.6613,0.014178
CELF3,0.379,0.00013,0.499,0.000159
PGM1,-0.8516,9e-06,-0.7785,0.000102
YTHDF2,0.0744,0.681471,0.1798,0.349142
SMG7,1.5249,0.011384,1.1618,0.044403
LMX1A,-0.7013,0.043278,-0.6497,0.058021
ZBED6,1.1346,2e-06,1.0838,4e-06
SEMA6C,-1.4787,0.000345,-1.6812,9.8e-05
F3,0.2629,0.218311,-0.4211,0.052136
SLAMF6,1.1527,0.0,0.7557,1e-06
UHMK1,1.1472,5e-06,1.1933,1e-06
PEX11B,-0.3986,0.091316,-0.195,0.393713
FCRLA,0.3748,0.179585,0.1047,0.68029
CD84,1.5664,1e-06,1.7008,0.0
FLAD1,-0.1164,0.662488,-0.0209,0.938572
NDUFS5,-0.8186,1e-06,-0.8146,2e-06
NIT1,-0.4213,0.015244,-0.3757,0.028342
VAMP4,0.1304,0.239592,0.0181,0.868984
IL24,4.6337,0.0,3.5767,0.0
CTH,0.2942,0.221919,0.1538,0.512791
CLSPN,1.6963,0.004348,1.8376,0.002596
COL11A1,3.4918,5.6e-05,0.6141,0.355966
ORC1,0.1517,0.635602,0.5341,0.121925
HYI,-0.6972,0.00042,-0.5687,0.001646
SRSF11,0.2177,0.148305,0.2235,0.131957
SRSF10,-0.1565,0.26634,0.1204,0.365843
RBBP5,-0.1398,0.464108,-0.2196,0.361844
SEMA4A,0.7814,0.202813,0.8191,0.184608
SYTL1,-1.4431,3.4e-05,-1.4644,2.9e-05
IKBKE,1.485,0.001185,1.3674,0.002566
PTPN22,3.1497,1e-06,2.2505,1e-05
RAB42,0.7275,0.083793,1.0812,0.016834
CSRP1,-1.8627,3e-06,-1.7937,4e-06
CRB1,0.1236,0.10459,0.0742,0.185844
PEX19,-0.8412,0.000132,-0.625,0.001343
POGZ,0.3399,0.255309,0.2393,0.414526
TRABD2B,-0.2551,0.483409,0.1653,0.657718
MR1,0.0509,0.606973,0.0975,0.554035
PTPRU,-0.8852,2.2e-05,-1.3219,0.0
PPIE,-0.6982,5e-06,-0.472,0.005088
GRHL3,0.1585,0.613284,0.2027,0.493296
PTP4A2,0.6622,1e-06,0.6491,2e-06
TMEM35B,0.3527,0.302481,0.4264,0.215254
TEX50,0.0,nan,0.0,nan
NASP,0.3455,0.112429,0.322,0.133445
DENND1B,0.6675,0.003865,0.5969,0.010917
RGS5,-1.7794,0.0,-2.1891,0.0
FCRL5,1.7607,0.0,0.3085,0.00059
CAMTA1,-0.2483,0.241465,-0.2199,0.318929
PRR9,1.1545,0.186979,0.8908,0.300627
TGFBR3,-3.3608,0.0,-1.9582,0.0
PRXL2B,0.5779,0.380796,0.4377,0.509433
THAP3,-0.2519,0.089269,-0.1218,0.379971
PLD5,-0.7276,0.22969,-0.7738,0.20346
MCL1,1.5182,0.0,1.3555,0.0
ARNT,-0.7369,0.016929,-0.9199,0.00562
LEPROT,-0.0651,0.588383,-0.0745,0.534349
PI4KB,0.6616,0.332473,0.5222,0.451499
POU2F1,-0.2233,0.045501,-0.2115,0.069962
EIF4G3,0.9753,0.000267,0.7298,0.002356
FOXJ3,-0.5731,0.000548,-0.3986,0.007914
PACC1,1.1687,0.008816,1.2183,0.007335
YY1AP1,-0.2974,0.048236,-0.7815,0.00573
ECHDC2,-1.1577,0.000736,-0.807,0.008325
KIAA1522,-1.4916,0.0,-0.9586,8e-06
SMAP2,1.7113,0.0,1.4988,0.0
NADK,2.2113,0.000105,2.0796,0.000197
STPG1,-0.7215,0.081058,-0.5858,0.152814
SERINC2,0.0747,0.559037,-0.3261,0.192108
PODN,-1.8841,0.0097,-1.5184,0.028649
TDRD5,0.0,nan,0.0,nan
AK2,0.347,0.015859,0.4531,0.005858
TOR1AIP2,0.0747,0.456269,0.1169,0.263603
UCHL5,0.1819,0.386166,0.1646,0.495635
FPGT,-0.0949,0.587464,0.1868,0.268938
PMF1,-0.4441,0.000222,-0.364,0.001637
PMF1-BGLAP,0.369,0.237534,0.1606,0.595925
TLCD4,-2.9716,0.000228,-2.2907,0.001505
TLCD4-RWDD3,0.0048,0.953917,0.099,0.282155
CRABP2,0.2501,0.450742,-0.0539,0.862934
CTSS,2.1495,0.0,2.2495,0.0
GADD45A,1.1136,0.000311,0.8026,0.003137
PPP2R5A,-0.2232,0.325439,-0.1161,0.630903
PSMA5,0.5647,0.094555,0.4385,0.192386
PSMB2,0.2483,0.049398,0.2948,0.023244
SLC35E2A,-0.2127,0.36424,0.2751,0.309855
PTPN7,2.5176,2e-06,2.1608,9e-06
INTS7,-0.6261,0.150084,-0.2705,0.525699
SPRR1A,1.4751,0.02994,0.6428,0.30443
HORMAD1,0.9674,0.00393,0.963,0.004299
DAP3,0.0519,0.796697,0.0055,0.978761
KCNAB2,1.9593,0.002486,1.7785,0.004563
B4GALT3,0.2189,0.039049,-0.0142,0.902705
NOTCH2,-0.4432,0.02247,-0.201,0.265664
NPL,2.5488,1.2e-05,2.4539,6e-06
PDZK1,0.0,nan,0.0,nan
WASF2,-0.6276,0.0,-0.3977,0.000179
EIF2D,-0.8379,0.149934,-0.781,0.179387
ENO1,0.8728,0.000961,0.8154,0.001553
TAF1A,0.5686,0.157919,0.6021,0.139731
RBM15,0.9202,0.028014,0.7828,0.065233
SLC16A4,-0.3373,0.517977,-0.3307,0.534941
CFHR4,0.0,nan,0.0,nan
AKR1A1,-0.2725,0.137409,-0.0959,0.590822
TRMT1L,0.5194,0.015936,0.6035,0.00561
PRDX1,0.1674,0.396936,0.4706,0.030815
PIGV,-0.6081,0.003042,-0.4701,0.024034
ECM1,-0.4126,0.033331,-0.5751,0.000499
NBL1,-1.3896,0.0,-1.0783,9e-06
KCNN3,-0.3668,0.497724,-1.0981,0.053355
MICOS10-NBL1,-1.3211,0.0,-1.0512,6e-06
MDM4,-0.1414,0.557577,-0.1952,0.419171
NEK2,1.4463,2.2e-05,1.2929,7.5e-05
ZNF670,-0.5431,0.299087,-0.3337,0.524181
ZNF695,0.1783,0.008141,0.2053,0.00253
KCNA2,-0.3553,0.484615,-0.6846,0.189703
TINAGL1,-1.3381,0.002857,-0.8735,0.041025
KIFAP3,0.2223,0.092368,0.1673,0.161525
TNFAIP8L2-SCNM1,-0.0428,0.809526,0.1722,0.337722
SCNM1,-0.0298,0.870148,0.1886,0.30842
PBX1,-1.8135,0.0,-1.4837,1e-06
SORT1,-0.2882,0.008194,-0.1694,0.121124
RNF223,-0.0433,0.90751,-0.4838,0.226132
CAPZB,0.4636,0.004241,0.3894,0.012096
IFI16,1.8691,0.0,1.7601,0.0
CHTOP,-0.0106,0.912927,0.1385,0.195942
SH3GLB1,0.3425,0.021176,0.3131,0.03268
IGSF8,-0.9749,2.3e-05,-0.7074,0.000954
IRF6,-0.7248,2.8e-05,-0.4931,0.007886
AKT3,0.1937,0.181704,-0.0014,0.991946
ITGB3BP,0.1653,0.7362,0.3355,0.497896
HSD11B1,-1.3203,2.7e-05,-0.6101,0.021384
ARID4B,0.9211,4e-06,0.8618,9e-06
ASPM,2.5442,3.3e-05,2.2596,8.9e-05
CA6,-4.9766,0.0,-3.6043,0.0
CASP9,0.7465,0.152797,0.5833,0.254657
CASQ1,-0.4762,0.110148,-0.2145,0.461652
CASQ2,-2.7346,0.0,-2.2417,1e-06
TEX46,0.0189,0.08816,0.0218,0.322778
FNDC10,-0.1356,0.565757,0.1375,0.557505
TTC34,0.0,nan,0.0,nan
AHCYL1,-0.0272,0.773481,0.167,0.104448
ZNF691,0.2436,0.563977,0.2754,0.528144
BRDT,0.0112,0.321537,0.0503,0.322778
PRKACB,1.4764,0.041794,1.3846,0.050775
ZBTB17,1.2015,0.056038,1.2056,0.055898
TMCC2,-0.3796,0.146582,-0.2581,0.319031
TNFRSF8,0.802,0.010682,0.9016,0.005519
NVL,0.4387,0.028429,0.4919,0.015915
GLRX2,0.5665,0.228565,1.0182,0.041446
PDIK1L,0.2638,0.552952,0.0788,0.861316
DHDDS,-0.3481,0.153594,-0.2381,0.321742
ZNF124,0.6933,0.000181,0.4568,0.012034
POMGNT1,-0.3197,0.245803,-0.1788,0.494617
CENPS-CORT,0.3562,0.368758,0.518,0.204003
FHL3,0.3057,0.478202,0.2496,0.55461
RCAN3,-0.3271,0.111637,-0.3611,0.06709
KIF21B,2.9756,2.7e-05,2.7111,4.1e-05
ZBTB7B,-0.8694,0.002527,-0.705,0.011662
SOAT1,0.3632,0.34126,0.4764,0.226392
THBS3,-1.0657,3.1e-05,-0.7891,0.000666
TIE1,0.3134,0.067177,0.4369,0.011256
MCOLN3,-2.4335,0.0,-2.0897,0.0
SYT6,-0.1722,0.397729,-0.193,0.343436
VTCN1,-1.1115,0.040694,-0.601,0.243212
AP4B1,0.3218,0.518276,0.446,0.370892
CDC20,1.9717,8.7e-05,1.6911,0.000309
CREB3L4,-0.3824,0.464865,-0.0435,0.93191
CD48,1.8244,0.002145,1.6077,0.00493
CD101,1.1785,0.010876,1.4588,0.00295
S100PBP,1.2964,0.022864,0.7946,0.150195
CHIT1,1.4325,0.054014,0.7779,0.281137
NSUN4,-0.143,0.314917,-0.0307,0.822064
ARL8A,0.6365,0.062374,0.7294,0.036824
TMCO1,0.4422,0.014229,0.4309,0.016096
CHD1L,0.8579,0.176127,0.9775,0.12683
LRRC39,1.3713,0.0,1.0672,0.0
RHBG,-0.7978,0.102555,-0.9471,0.057859
ELOVL1,-0.5701,0.009123,-0.4251,0.03691
DENND2C,-0.558,0.097353,-0.5323,0.107433
LRRC42,-0.2774,0.604863,0.0021,0.996907
NBPF3,-0.4236,0.332745,-0.5749,0.193781
INTS11,-0.5578,0.04064,-0.5956,0.030689
MSTO1,-0.7325,0.318687,-0.1284,0.861626
RXRG,-1.031,0.005103,-0.8763,0.012483
TRIM46,0.0129,0.321537,0.0311,0.322778
GLMP,0.8316,0.074907,1.0146,0.033741
LOC149373,0.0,nan,0.0,nan
RIT1,1.2566,3.5e-05,1.3223,1.3e-05
DNAJC6,0.0059,0.984191,-0.2495,0.399447
CDCA8,1.6819,9.2e-05,1.6565,9.3e-05
CLCN6,-0.164,0.549894,-0.0369,0.893944
AMPD2,1.3085,1e-06,1.162,2e-06
LMNA,-1.0858,0.0,-0.7193,6e-06
IL12RB2,0.3068,0.00279,0.2656,0.024237
OR2L5,0.0,nan,0.0,nan
SELENBP1,-1.7944,0.0,-1.3102,1e-06
PGBD5,-0.0978,0.855387,-0.8352,0.141227
BCAR3,-1.0494,0.075161,-1.0308,0.081064
ADAM15,-1.4331,3.7e-05,-0.9497,0.00108
CDKN2C,-1.14,8.1e-05,-0.8555,0.00134
KIAA1324,-1.4516,0.011969,-0.7624,0.145788
TOR1AIP1,-0.1745,0.158552,-0.3117,0.020003
FAM189B,0.1095,0.709107,0.5336,0.088674
GPR161,0.1159,0.840131,-0.1536,0.791678
PTPRC,3.1225,0.0,3.0188,0.0
ILF2,0.8819,0.004272,0.8461,0.005499
MIGA1,-0.6951,7.1e-05,-0.7013,4e-05
LIN9,-0.1668,0.702602,-0.1407,0.754184
ARPC5,0.9245,0.000713,0.9809,0.000491
ST3GAL3,-0.1075,0.469681,-0.0799,0.593733
ASCL5,0.0283,0.77512,0.0945,0.389745
PROX1,-0.3582,0.234074,-0.3023,0.297424
STRIP1,0.5477,0.000227,0.6829,3e-05
MEAF6,-0.504,0.04931,-0.493,0.05271
TRAPPC3,0.1555,0.464746,0.2023,0.30338
VPS72,-0.3065,0.33228,-0.1878,0.552218
EMC1,0.3528,0.089163,0.3382,0.101491
MEF2D,0.3554,0.078729,0.0111,0.953752
PYCR2,0.2597,0.254639,0.4886,0.042867
SLC35A3,-0.6504,0.038784,-0.6145,0.047101
MST1L,-1.3616,0.0214,-1.0971,0.05349
PLA2G2D,0.4357,0.241309,0.114,0.743093
DENND2D,0.9971,0.000582,1.1041,0.000222
RRAGC,0.1169,0.254141,0.2422,0.016018
KLHDC8A,0.0493,0.096806,0.0134,0.322778
SRGAP2B,-0.9358,0.022265,-1.0948,0.010955
SRGAP2C,-0.6184,0.027696,-0.4647,0.104282
KHDRBS1,0.2388,2.3e-05,0.265,9e-06
TARS2,-0.1323,0.780528,-0.145,0.761287
SLC39A1,-0.1699,0.405156,0.0912,0.64907
RAB4A,-0.9067,1e-06,-0.9006,1e-06
DOCK7,-0.2057,0.278339,-0.1984,0.307286
RAB13,1.1239,0.007849,1.2475,0.004258
PAQR6,-1.0293,0.14101,-0.1339,0.84325
CHI3L1,1.3903,0.002024,1.1904,0.005736
WDTC1,-0.7309,0.003169,-0.6691,0.005586
YOD1,-0.2705,0.160659,-0.5182,0.008505
LCE1C,-2.7359,0.0,-2.0842,0.0
C1orf141,0.0,nan,0.0,nan
USF1,0.1346,0.076019,0.094,0.120057
NR5A2,0.2147,0.349442,0.339,0.164793
MT1HL1,0.0,nan,0.0,nan
B3GALNT2,-0.4346,0.000475,-0.3495,0.001881
CNIH4,0.0201,0.908489,0.2731,0.13363
TAGLN2,-0.0143,0.923513,0.1667,0.281876
NBPF12,-0.0684,0.868555,-0.0243,0.953202
ZBTB18,-0.1426,0.405766,-0.0659,0.716175
NBPF20,0.5201,0.173486,0.5799,0.135048
C1orf195,0.0255,0.051355,0.0471,0.240857
ZBTB48,0.3421,0.425609,0.137,0.750383
SV2A,-0.0765,0.854664,-0.482,0.267484
VPS45,0.1258,0.786156,0.3656,0.434887
ANKRD35,-2.8878,0.0,-2.1279,0.0
ZNF281,1.7094,1e-06,1.29,2.2e-05
CEP85,0.3241,0.522163,0.5192,0.315744
GCSAML,-1.0552,0.058055,-1.0298,0.065554
CSMD2,2.1755,0.000113,1.1306,0.016612
SPOCD1,3.4955,0.0,2.7461,0.0
HPCAL4,0.095,0.028804,0.0517,0.168433
MIXL1,0.1414,0.662334,-0.1376,0.661213
GNB1,0.1368,0.366782,0.2345,0.132164
SYCP1,0.0307,0.591624,0.0273,0.670199
STK40,0.4765,0.015712,0.5236,0.012016
EYA3,0.7272,0.026646,0.5895,0.063135
MACO1,0.4401,0.000541,0.2355,0.036035
ZCCHC17,0.0911,0.876952,0.1126,0.848687
MXRA8,-0.5604,0.224555,-0.469,0.3005
H6PD,-1.3238,2e-05,-1.318,2.1e-05
SLAMF7,4.0663,0.0,3.8469,0.0
DFFB,0.3405,0.231656,0.163,0.565934
FMO1,2.1317,0.0,0.4815,0.170163
SUCO,1.0594,0.00022,0.8761,0.000899
RGS7,-0.1776,0.343436,-0.1776,0.343436
GON4L,0.3211,0.063497,0.3494,0.044904
CLCA1,0.0106,0.321537,0.0584,0.053245
CNN3,0.3301,0.038896,0.1868,0.213874
RPA2,0.7388,0.153608,0.9081,0.094374
MARK1,0.3016,0.132584,0.3948,0.031628
BPNT1,-0.2998,0.329294,-0.077,0.790544
ASTN1,-1.191,0.009584,-1.2105,0.008787
SLC25A44,0.6875,0.247051,0.7547,0.21326
STX6,0.6936,0.001234,0.6463,0.003682
DTL,1.1798,0.009565,1.4975,0.002094
SPATA6,-0.9323,0.000219,-0.9786,0.00017
RALGPS2,0.8768,0.020073,0.7869,0.033641
KIRREL1,1.587,0.0,1.2326,9e-06
OLFML3,-1.9955,0.012839,-1.9008,0.016479
MAP7D1,0.4342,0.01144,0.4278,0.012427
TOMM40L,0.8391,0.003694,0.7311,0.008622
MAEL,-0.117,0.343436,-0.117,0.343436
LOC101928436,0.0,nan,0.0,nan
BTNL10,0.0,nan,0.0,nan
TAL1,-0.758,0.136456,-0.9182,0.079875
FAM72C,0.0649,0.006201,0.1319,0.024795
AUNIP,0.545,0.123226,0.6574,0.075559
SLC1A7,-0.2657,0.212008,-0.2749,0.19661
SETSIP,0.0468,0.047564,0.0415,0.098891
TRAF3IP3,2.4714,0.000252,2.3494,0.000391
DNAJC16,0.1538,0.596886,0.1914,0.507994
KCNT2,-0.0597,0.799565,-0.1797,0.441356
WDR63,0.2164,0.527608,0.2038,0.555618
TMEM9,-1.2464,2e-06,-1.2671,1.1e-05
BROX,-0.3634,0.022714,-0.3104,0.045149
ADAMTSL4,0.5345,0.286291,0.8182,0.116738
OLFM3,0.0,nan,0.0,nan
MAN1C1,-0.5812,0.02024,-0.2865,0.181272
ZMYM1,-0.3004,0.190144,-0.4536,0.067328
PER3,-2.0129,0.0,-1.645,0.0
LACTBL1,0.0,nan,0.0,nan
LINC02801,-0.0075,0.980827,-0.057,0.855094
NCSTN,0.626,0.286515,0.5795,0.327275
ADIPOR1,0.0116,0.923239,-0.061,0.598355
BECN2,0.0,nan,0.0,nan
FOXO6,-1.6075,0.000415,-1.3215,0.0017
TTC4,-0.3015,0.015164,-0.1599,0.177049
CDK11B,0.543,0.324019,0.6703,0.234354
PERM1,-1.1656,9.4e-05,-0.899,0.000875
PRAMEF13,0.0,nan,0.0,nan
PRAMEF33,0.0,nan,0.0,nan
NPHP4,0.4498,0.285784,0.1184,0.779317
HSPG2,-0.212,0.341793,-0.42,0.079266
GALNT2,1.467,0.000935,1.553,0.000607
WNT2B,-2.1544,0.0,-1.6396,0.0
CACHD1,-0.6245,0.003079,-0.5294,0.013922
AZIN2,0.4697,0.427289,0.3246,0.582236
PRAMEF1,0.0,nan,0.0,nan
ADGRB2,-0.3888,0.296401,-0.8178,0.039396
CLK2,0.4694,0.013021,0.5201,0.007211
COL8A2,-0.9017,0.011556,-1.0142,0.005045
INPP5B,-0.0764,0.900177,-0.3151,0.622876
TNFSF4,0.6351,1e-06,0.4554,0.000336
UQCRH,-0.389,0.0,-0.3032,4.3e-05
NPHS2,0.0,nan,0.0223,0.322778
PEA15,0.6513,0.000521,0.7026,0.000268
TNFRSF14,0.7575,0.055126,0.6336,0.09701
MAP3K6,-0.649,0.003498,-0.4457,0.030511
CNKSR1,-0.2154,0.570076,0.0958,0.798534
KIF2C,1.4789,0.002246,1.1079,0.015808
RGL1,0.1303,0.430562,0.3962,0.036053
RPRD2,-0.5893,0.0,-0.5578,0.0
ADGRL2,1.3655,0.088067,0.6898,0.370911
CAMSAP2,0.1251,0.210205,-0.0246,0.804741
OLFML2B,1.9203,0.005991,1.1771,0.06487
DESI2,0.9601,0.090166,0.8488,0.132937
GPATCH2,0.7832,0.001139,0.8789,0.000564
ETNK2,-1.9032,0.008868,-1.3858,0.041564
NMNAT1,-0.0702,0.791846,-0.1627,0.580637
MRPL9,-0.1675,0.277763,-0.031,0.834374
TMEM53,-0.1914,0.693316,-0.1453,0.774087
ANGEL2,-0.5249,0.000528,-0.4587,0.001573
C1orf105,-0.1149,0.450106,0.0187,0.905747
LYPLAL1,-1.0114,8.3e-05,-0.7616,0.001852
C1orf131,0.3564,0.169961,0.4657,0.072474
PIFO,-1.0437,0.045987,-0.7292,0.145439
C1orf162,1.7197,0.00305,2.1752,0.000534
CIART,-1.2044,0.027938,-1.0318,0.055913
SLC35F3,-0.0844,0.762257,-0.1232,0.661785
RC3H1,0.3469,0.173249,0.3091,0.222871
MIA3,-0.2016,0.008783,-0.0922,0.19006
PRAMEF27,0.0,nan,0.0,nan
CCDC181,0.0511,0.615815,-0.0631,0.491363
PTBP2,-0.3446,0.350086,-0.4048,0.279799
CCDC28B,0.1147,0.679518,0.224,0.416064
C1orf54,1.3162,0.027669,0.7762,0.166399
MORN1,-0.7286,0.007709,-0.4415,0.086631
CTPS1,0.7865,0.00015,0.798,0.000136
FMO2,0.9257,0.063281,-0.5222,0.286218
ERI3,-0.609,0.01563,-0.397,0.072025
CORT,-0.0182,0.887889,0.0323,0.807962
BEND5,-1.0429,0.088267,-1.3701,0.032291
EDN2,0.6024,0.108477,0.851,0.036009
HNRNPCL4,0.0,nan,0.0,nan
PLCH2,-2.178,1e-06,-1.1624,0.001256
C1orf109,-0.2016,0.723594,-0.6287,0.287006
ITGA10,0.1113,0.791402,-0.2039,0.622686
KLHL12,-0.0135,0.979425,0.3003,0.566511
ISG20L2,0.7072,1.4e-05,0.6463,3.9e-05
PRUNE1,0.5466,0.50987,0.3509,0.672733
COLGALT2,-0.6976,0.104315,-0.7304,0.09247
