Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,"RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)",5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,ZC3H12D;ZC3H12C;SLFN14;ZC3H12A;DICER1
GO_Biological_Process_2021,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),11/42,0.1100971843840703,0.3722099549759829,0,0,1.6530634643350377,3.647305687202388,IGSF21;TENM2;TENM3;VCAM1;CD6;JAML;CD209;CRTAM;ITGAL;SELE;ICAM1
GO_Biological_Process_2021,autophagosome membrane docking (GO:0016240),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,VMP1;ATP2A2;CALM1
GO_Biological_Process_2021,cation homeostasis (GO:0055080),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,SLC7A8;ATP13A2;TRPM7
GO_Biological_Process_2021,cellular ion homeostasis (GO:0006873),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,P2RY2;ATP13A2;RHCG
GO_Biological_Process_2021,chemical homeostasis within a tissue (GO:0048875),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,RCN3;OAS1;VEGFA
GO_Biological_Process_2021,collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,COL4A2;UBASH3B;DDR2
GO_Biological_Process_2021,cytochrome complex assembly (GO:0017004),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,COX15;CYBA;COA6
GO_Biological_Process_2021,deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,DCP2;PATL1;PATL2
GO_Biological_Process_2021,death-inducing signaling complex assembly (GO:0071550),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,CASP8;TNF;TNFRSF1A
